second,queries,ok,fail,fail_pct,wan_queries,wan_fail_pct,lan_queries,lan_fail_pct,top_errors
471,5,5,0,0.0,5,0.0,0,0,-
472,5,5,0,0.0,5,0.0,0,0,-
473,5,5,0,0.0,4,0.0,1,0.0,-
474,5,5,0,0.0,5,0.0,0,0,-
475,5,5,0,0.0,5,0.0,0,0,-
476,5,5,0,0.0,5,0.0,0,0,-
477,5,5,0,0.0,5,0.0,0,0,-
478,5,5,0,0.0,5,0.0,0,0,-
479,5,5,0,0.0,5,0.0,0,0,-
480,5,5,0,0.0,4,0.0,1,0.0,-
481,5,5,0,0.0,5,0.0,0,0,-
482,5,5,0,0.0,5,0.0,0,0,-
483,5,5,0,0.0,5,0.0,0,0,-
484,5,5,0,0.0,5,0.0,0,0,-
485,5,5,0,0.0,5,0.0,0,0,-
486,5,5,0,0.0,5,0.0,0,0,-
487,5,5,0,0.0,5,0.0,0,0,-
488,5,5,0,0.0,4,0.0,1,0.0,-
489,5,5,0,0.0,5,0.0,0,0,-
490,5,5,0,0.0,5,0.0,0,0,-
491,5,5,0,0.0,5,0.0,0,0,-
492,5,5,0,0.0,5,0.0,0,0,-
493,5,5,0,0.0,5,0.0,0,0,-
494,5,4,1,20.0,4,25.0,1,0.0,SERVFAIL:1
495,5,5,0,0.0,5,0.0,0,0,-
496,5,5,0,0.0,5,0.0,0,0,-
497,5,5,0,0.0,5,0.0,0,0,-
498,5,5,0,0.0,5,0.0,0,0,-
499,5,5,0,0.0,5,0.0,0,0,-
500,5,5,0,0.0,5,0.0,0,0,-
501,5,5,0,0.0,5,0.0,0,0,-
502,5,5,0,0.0,5,0.0,0,0,-
503,5,5,0,0.0,5,0.0,0,0,-
504,5,5,0,0.0,5,0.0,0,0,-
505,5,5,0,0.0,5,0.0,0,0,-
506,5,5,0,0.0,5,0.0,0,0,-
507,5,5,0,0.0,5,0.0,0,0,-
508,4,4,0,0.0,3,0.0,1,0.0,-
509,5,5,0,0.0,5,0.0,0,0,-
510,5,5,0,0.0,5,0.0,0,0,-
511,5,5,0,0.0,5,0.0,0,0,-
512,5,5,0,0.0,5,0.0,0,0,-
